# prompt: forma-fisica-corpo-perfeito-e-consumismo
# score: 5,0
# title: Em busca do corpo ideal
Algum tempo semprese defendeua ideiademente sãecorposão, infelizmenteem pleno séculoXXIesse ensinamento tão
         antigo parece estar cada vez maisdistante. Em uma sociedade deconsumoque "vende modelos inatingível de perfeição", é natural que ocorram
         danos físicos e psicológicos . O indivíduo cada vez mai sesubmetema padrões inalcançáveiscomo; tratamentos, cirurgias.
         Causa danos reaisásaúde ou até mesmoámorte. Umexemplo é casoque chamou bastante atenção da mídia foiAndressaurachvice-miss bumbum,ficou entre a vida eámorte após ter colocadohidrogeunascoxa.
         Nessa perspectiva o indivíduo cuja não está adequado sofrem como vítimas isoladas. Depressão, distúrbios alimentares, bulimia e anorexia são alguns efeitos psicológicos de um ideal não alcançável para aqueles que não obtiveram seu objetivo , muitas vezes proposto pela mídia ou por amigos que buscam essa perfeição de qualquer maneira. É preciso, portanto, que se reflita sobre esses padrões corporais que nosé impostocada dia. É preciso que o indivíduo seja mais flexível consigo mesmo. A escola pode levantar esses questionamentos sobre os
         estigmas corporais . Amídiapor sua vez, deve assumir uma responsabilidade e promoverumasreflexão. Quem sabe assim a sociedade compreenda que a belezaestano seu aspecto plural.
# C0: 1,0
# C1: 1,0
# C2: 1,0
# C3: 1,0
# C4: 1,0
