prompt,title,essay,competence,score
63,,"['Muito se exige da natureza para a produção e comercialização de produtos. Afinal, basicamente tudo que é produzido hoje depende da extração de seus minerais. Acontece que excessivamente cobra-se do ambiente que pouco tem seus pedidos atendidos ou sequer ouvidos. É então que surgem os grandes impactos ambientais que são observados, apenas, quando resultam em algum desastre.', 'A extração de produtos naturais acontece desde que o homem passou a existir e logo,\xa0 a pensar ;\xa0\xa0fato esse marcado pelo surgimento do paleolítico e o neolítico, oriundos da Pré-História. A diferença entre eles é bem simples. Enquanto o primeiro extrai do meio o suficiente a ser consumido, o segundo controla a natureza manipulando seu precioso tempo de reposição. Por conseguinte, as florestas aos poucos desaparecem, os animais lentamente vão ficando extintos e a água cada vez mais escassa. Outrossim, o homem encontra-se em uma realidade da qual rapidamente ele deixará de existir.', 'Podemos observar recentemente duas tragédias ambientais brasileiras causadas por grandes corporações: a tragédia de Mariana, ocorrida no ano de 2015, no estado de Minas Gerais\xa0\xa0causada pela mineradora Samarco. E o atual desastre em Brumadinho, ocasionado pela mineradora Vale, no município de Belo Horizonte. Ambas resultaram em uma alteração das estruturas físico, química, biológica e, até mesmo, social da região.', 'Em tese, tudo isso poderia ter sido evitado se a Constituição Brasileira, no artigo 225 (3º parágrafo), fosse fidedigna quando cita a punição civil administrativa e penal para os culpados pelos respectivos desastres ambientais. Ademais, se os agentes de fiscalização ambiental, como o Conselho Nacional do Meio Ambiente (CONAMA) ou Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA), atuassem como realmente deveriam, muitas destas drásticas mudanças ambientais poderiam ter sido poupadas. O ecossistema em si, assim como todo e qualquer indivíduo unitariamente, também adoece quando não recebe cuidados.']","[120, 160, 120, 160, 80]",640
74,Quando isso irá acabar?,"['No Brasil atual\xa0 algo que infelizmente acabou se tornando comum ao nosso redor são noticiários trazendo casos de feminicidios , onde o indivíduo do sexo masculino acaba se sentindo superior a mulher, sendo capaz de controlá-la, violent-la e até possivelmente se achando no direito de tirar à vida da mesma.', 'São inúmeros casos e inúmeras histórias relatadas, cheias de dor e sofrimento contadas pelas vítimas, a cada 20 minutos uma mulher é violentada verbalmente ou fisicamente em nosso país, na maioria das vezes por seus próprios familiares e parentes, os julgamentos da sociedade são sempre associados a roupa curta ou o modo como a mulher se comporta, nunca o homem é visto como “culpado “ pelo ato.', 'Por lei qualquer tipo de agressão contra mulher é crime, em cada cidade se situa uma ou até mesmo duas delegacias da mulher, porém ao denunciar corresse o risco de nada ser feito, ou do agressor ser preso por apenas alguns dias e poder pagar fiança, restando apenas o sentimento de mais corpo “ sujo “ de mais uma vítima.', 'Portanto, medidas são necessárias para resolver o impasse. Não só a população\xa0 mas também órgãos governamentais como polícia militar e polícia civil deveriam por sua vez amadurecer sua forma machista de pensar e notar o quão são altos e sérios os casos de feminicidios relatados e não levarem isso como algo normal e comum em nosso cotidiano.']","[120, 80, 80, 80, 40]",400
74,,"['Na Grécia antiga, houve um momento de forte sentimento patriarcal dentro da sociedade, no qual o líder se denominava pater, que significa pai de família. A partir de então, além do desafio de conquistar espaço outrora ocupado exclusivamente pelo homem, o feminicídio\xa0\xa0no Brasil representa mais um novo fator a ser combatido pela figura feminina. Nesse contexto, vale ressaltar que a violência contínua contra a mulher, além de ser fruto de uma herança histórica, se dá pela cultura machista que ainda impera nos tempos atuais.', 'Em primeira instância, cabe pontuar que as atitudes discriminatórias contra a mulher já eram recorrentes na antiguidade. Comprova-se isso pelas fontes históricas, bem como pelas artes, as quais são nítidas na música “mulheres de Atenas”\xa0 do compositor Chico Buarque, que evidenciam a submissão da figura feminina às ordens masculinas as quais se resumiam aos cuidados do lar e dos filhos. Dessa forma, vê-se que para combater essas associações de papis discriminatórios,\xa0 é preciso desconstruir essa ideia preconceituosa sobre o espaço que a mulher deve ser necessariamente inserida, sustentado por essa era patriarca.', 'Ademais, convém frisar que a supremacia masculina ainda é forte na atualidade , bem como o sentimento de propriedade na mulher, refletindo, portanto, as ações violentas. Isso é notório pelos dados divulgados pela OMS- Organização Mundial da Saúde- os quais afirmam que a cada cem mil mulheres, quase cinco mil são assassinadas no Brasil. Diante disso, percebe-se que a luta feminina pela busca de maior independência e proteção contra essas agressões ainda é uma realidade.', 'Destarte, urge a necessidade de meios para atenuar a problemática do preconceito e violência do homem contra a mulher, além de superar os resquícios históricos. Torna-se imperativo que as autoridades políticas, por meio de verbas e leis, invistam nos órgãos de denúncia, bem como nos seus agentes de segurança para a mulher, de forma a melhorar o atendimento e a atuação desses funcionários, com a contratação de mais profissionais da polícia e capacitação deles. Além disso, a educação, por meio de aulas didáticas nas escolas, deve ampliar o conhecimento do seus educandos acerca da igualdade de gêneros, a fim de fazê-los abandonar a visão preconceituosa que era sustentada nos tempos antigos e passarem a adotar o respeito que a figura feminina deve ter no convívio social. A partir dessas ações, espera-se promover uma melhora nas condições sociais da mulher no país.']","[160, 160, 120, 160, 160]",760
58,Qual floresta queremos para o futuro?,"['Muito tem se falado nos noticiários à respeito das queimadas e desmatamentos na Amazônia, cujo problema é considerado de caráter ambiental, podendo trazer consequências irreversíveis ao ecossistema.', 'Contudo, as queimadas em florestas causam poluição do ar;\xa0 pois provocam a emissão de gás carbônico na atmosfera. Porém, outro agente poluidor são: os combustíveis fósseis, o processo de combustão em automóveis, as termoelétricas e as siderúrgicas, que acabam emitindo esse tipo de gás.', 'Sobretudo, nos últimos trinta anos, inúmeras florestas, incluindo a Amazônia, foram desmatadas intensamente com o intuito exclusivo de ""interesses econômicos e altos índices de consumo"".', 'Uma das maneiras para a diminuição da emissão de dióxido de carbono,\xa0 foi a criação do Protocolo de Kyoto, que inclui os países desenvolvidos. Mas o maior emissor, os Estados Unidos, negou-se a fazer parte desse protocolo.', 'É necessário que se tomem medidas urgentes para um bem considerado o ""pulmão mundial"", tais como: fiscalização e cobrança de taxas para quem não respeitar as leis impostas pelos governantes.', 'Entretanto, corre-se o risco de vermos\xa0\xa0nos principais meios de comunicação, uma Amazônica em ""extinção"".']","[120, 80, 80, 120, 40]",440
74,,"['Segundo Aristóteles, toda organização social tem como objetivo a busca por um estado de bem estar geral, que se concretiza quando todos os indivíduos agem com ética. No entanto, a expressão de qualquer forma de violência é um obstáculo no rumo à teleologia ética. Nesse sentido, os casos de feminicídio no Brasil são uma prova de que o país fracassa na busca por uma condição de paz global, assim como salienta uma cultura machista-patriarcal\xa0que concebe o corpo feminino como um objeto.', 'Parafraseando Aristóteles, é possível dizer que a violência torna impossível a existência da ética, visto que essa última consiste numa valoração dos atos bons ou certos. Nessa linha, a sociedade brasileira está longe de fazer justiça à teoria do referido filósofo, haja vista que o Brasil é um dos líderes no infame ranking dos países com maiores índices de homicídios femininos, ocupando a quinta colocação, segundo a ONU (Organização das Nações Unidas).', 'Ademais, os casos de agressão e assassinato de mulheres na nação brasileira são oriundos de uma cultura que objetifica o corpo feminino. Em um primeiro momento, na infância, a menina pertence à família, isto é, pertence ao ""governo"" da sociedade familiar, que geralmente é o patriarca. Depois, na adolescência e maturidade, o corpo feminino passa para o domínio do namorado/companheiro. Essa relação de poder se solidifica quando a mulher engravida e/ou passa a depender economicamente do seu cônjuge. Tal fato pode ser observado na maioria dos relacionamentos brasileiros.', 'Portanto, os feminicídios no Brasil são consequência de uma estrutura ideológica que perdura ao longo do tempo. Para atenuar o problema, o Ministério da Educação deve determinar que as escolas ensinem nas aulas de ociologia e ilosofia sobre a condição de vulnerabilidade de grande parte das brasileiras. Essas aulas conscientizarão meninas e meninos sobre o estado delas no contexto social, bem como enfatizarão a educação como meio de adquirir independência financeira, evitando que elas caiam em relacionamentos que põem suas vidas em risco.']","[160, 120, 160, 160, 120]",720
79,Segunda Chance,"['Quem educa a criança jamais punirá o adulto. Educar é preciso para o sistema mudar, a realidade prisional do Brasil é de caos total, não existe um projeto de reabilitação e ressocialização dos condenados, e sim um deposito  de gente entregues ao azar. Nesse país se uma pessoa for pobre, preto, ignorante e sem profissão pior pra ele. Agora, se for tudo isso e ex- prisioneiro é o fim dele. Isso mesmo, aqui, a sociedade não perdoa os erros do outro, quem comete um erro pagará a vida inteira, se for pobre.', 'No ano de 2000, um jovem estudante baiano roubou três livros de uma livraria para estudar. Foi parar no presidio da Mata escura na hora, sem julgamento nem condenação. Em julho de 2013 \xa0Thor Batista, filho do empresário Eike Batista, foi condenado por homicídio culposo. Pena? Prestar serviços comunitários por dois longos anos. Ora, parece brincadeira, só que não é, e tudo parece muito injusto para se transformar \xa0 já que a injustiça já vem de brinde na saga de grande parte da população menos favorecida brasileira.', 'Como melhorar um sistema injusto onde a força da injustiça é aceita como normal? Onde você é ensinado a acreditar que não vale nada e que não presta para nada? Tem que haver uma mudança de valores urgente, tem que acreditar. Não pode tratar essas pessoas como lixo. E  dever desses estabelecimentos resgatar a dignidade humana dos que cometeram erros, e não, \xa0condená-los a uma pena eterna.', 'A educação é o único caminho, os presídios têm que gerar renda, eles devem ser obrigados a trabalhar e estudar, nada de armas nem drogas. E muito menos comunicação com a vida fora dos muros da prisão \xa0afinal é pena ou férias? O que aconteceu em Manaus não deve se repetir nunca mais nem no Brasil nem no mundo. Violência só gera mais violência, o governo deve pensar na frente, prisão deve ser um lugar para dar uma nova chance para alguém e não o fim de toda humanidade restante. Bandido bom é transformado em cidadão.']","[160, 120, 120, 160, 160]",720
82,,"['Nos dias de hoje, com a falta de recursos na saúde pública e o alto preço de uma consulta médica particular, grande parte da população acaba se automedicando. Porém, de acordo com a Organização Mundial da Saúde (OMS), em todo \xa0mundo, 50% dos pacientes tomam remédios de forma incorreta.', 'Certamente, ao ingerir medicamentos, não sabe-se  o que acontecerá no organismo, podendo levar à melhora, \xa0ou simplesmente, a \xa0esconder determinados sintomas que seriam importantes para um diagnóstico. Além disso, o uso inadequado de antibióticos pode aumentar a resistência de microorganismos , sendo mais difícil combatê-los.', 'Ademais, alguns medicamentos podem provocar alergia, urticária, anafilaxia, asma, entre outras reações\xa0que podem ser graves a ponto de levar o enfermo a óbito. Com isso, a medicação deve ser feita sempre por um profissional da área,\xa0que possui formação e conhecimento suficiente.', 'Dessa forma, faz-se necessário que os órgãos públicos competentes façam campanhas que alertem as pessoas sobre os perigos da automedicação, \xa0\xa0e invistam, principalmente, nos programas de estratégias de saúde, \xa0\xa0que a população tenha acesso à informação, ao tratamento e à prevenção de doenças. Além disso, as farmácias devem zelar pela saúde de seus clientes, não vendendo medicamentos que necessitam de receitas médicas, se não as possuírem, bem como conscientizá-los que antes precisam procurar um especialista.']","[160, 120, 120, 160, 160]",720
55,A importância de valorizar e garantir os direitos dos povos indígenas no Brasil,"['Quando se fala em valorizar algo, é,\xa0 estimar sem causar nenhum prejuízo. Assim os povos indígenas possuem grande valor para o Brasil com sua cultura.', 'O rasil é um país, que respira a diversidade entre seus povos. Entretanto, existem muitas diferenças e preconceitos a serem vencidos.', 'No entanto, os povos indígenas estão entre as vítimas de preconceitos e genocídios. Dados recentes\xa0 mostram que a luta dos índios pela demarcação de terras não cessaram e a cada ano cresce o número de mortes provocadas por disputas de terras.', 'Com base nesse episódio tão desumano, vale salientar que,\xa0 na Constituição Federal no seu artigo 215 diz que,\xa0 ""os povos indígenas tm direito a continuarem em terras que habitavam antes da União existir, desfrutando de tudo que ali existe.""', 'Contudo esse direito, aos poucos está sendo revogado, assim mostra o cenário atual, onde representantes da FUNAI , lutam incansavelmente para garantir a habitação e sobrevivência mais humana destes.', 'Apesar de todo esse embaraço, as autoridades devem se ater para o que a constituição diz e, incentivar nas escolas sobre a importância desta cultura tão rica para o povo brasileiro e,\xa0\xa0fiscalizar de perto os demarcadores contrários a essa ação.']","[120, 120, 80, 120, 80]",520
56,,"['É lamentável a situação do sistema carcerário brasileiro, \xa0Brasil é terceiro país com o maior número de presos no mundo; resultando nesse caos, presídios super lotados\xa0e precaridade infraestrutural.', 'Dos anos 90 até hoje o número de presos no Brasil cresceu mais de quatro vezes e a taxa de reincidência criminal em 2016 era de 20%,a mais baixa do mundo.Diante disso, se buscar por soluções eficientes pde-se usar como exemplo a penitenciária de HALDEN na Noruega, considerada a"" menina dos olhos""\xa0\xa0estando em primeiro lugar como melhor sistema carcerário do mundo, onde 80% dos criminosos ou seja apenas 2 de cada 10 presos soltos voltam a cometer crimes.', 'O sistema norueguês foca na reabilitação e não na punição e está longe da super lotação vista no Brasil,com instalações adequadas,estímulos ao trabalho e educação.', 'Sendo assim fica clara a necessidade de urgência em criar mais unidades para possibilitar a separação dos presos por perfil; associações oferecendo trabalho educação e oportunidade,um sistema de carceragem onde há controle populacional e se respeite os direitos humanos.']","[120, 80, 80, 120, 80]",480
73,O preconceito racial faz morada onde há ignorância,"['Embora brancos, negros e qualquer outra raça seja considerada igual perante a onstituição, na prática ainda há diferenças. Sendo assim, afrodescendentes acabam encontrando dificuldades quanto a inserção em setores como o mercado de trabalho e universidades. Além disso, os negros são pouco ou mal representados na mídia e a cultura afro, no Brasil, ainda encontra resistência para ser aceita, mesmo com a imensa contribuição para a formação dos costumes brasileiros.', 'O sonho de Martin Luther King, líder do movimento dos direitos civis negros nos EUA, era que os indivíduos fossem julgados pela personalidade e não por cor de pele. Contudo, esta realidade segue distante.\xa0\xa0Conforme dados do Instituto Brasileiro de Geografia e Estatística , o acesso de pessoas negras \xa0educação de qualidade segue restrita, representam apenas 12% dos estudantes universitários. Consequentemente os afrodescendentes são as maiores vítimas do desemprego, já que são 63% dos desocupados no Brasil, de acordo com o IBGE.', 'Da mesma forma, a população negra encontra barreiras na questão da representatividade na mídia. Uma vez que, somente em 2018,\xa0\xa0foi possível ter um filme de super-heri com um elenco predominantemente negro, o longa ""Pantera Negra"", que possui uma das maiores bilheterias da história da Marvel. Por outro lado, personagens de destaque social como a juíza Raquel, da novela ""O Outro Lado do Paraíso"", interpretado por Érika Januza, atriz negra, ainda são raros na dramaturgia brasileira. Todavia, em outros espaços midiáticos, afrodescendentes também sofrem discriminação, como o caso de Maju Coutinho, da TV Globo. A jornalista chegou a prestar queixa por racismo sofrido através de comentários na internet.', 'Por isso, é preciso reafirmar o papel do negro na sociedade, dando-lhe o devido destaque. Com a finalidade de promover a cultura afro, o Estado deve trabalhar na criação de centros que ofertem aulas de Capoeira, Maracatu, Maculelê e outras manifestações do gênero e que sejam abertos para toda a comunidade civil. Além disso, o MEC mesmo tendo em suas diretrizes a adoção da cultura afro-brasileira nas escolas, pode atuar no incentivo de competições entre estudantes sobre a formação étnica do Brasil, instigando ainda mais a pesquisa por parte dos alunos. Dessa maneira, a sociedade teria mais armas contra preconceito, uma vez que o mesmo se dá através do desconhecimento.']","[160, 120, 120, 160, 120]",680
